pdf_id,density,error_rate,total_pages,boundary_count
01bb16c7,0.019230769230769232,0.0,52,1
04d69b2f,0.0196078431372549,0.0,51,1
054d1524,0.014084507042253521,0.0,71,1
09fea760,0.016666666666666666,0.0,60,1
098a7bf8,0.13513513513513514,0.06756756756756757,74,10
0100c5a7,0.01282051282051282,0.0,78,1
0a6e0208,0.12727272727272726,0.10909090909090909,55,7
0c9aa28b,0.01694915254237288,0.0,59,1
0e47eea8,0.01818181818181818,0.0,55,1
0a708162,0.014705882352941176,0.0,68,1
0a79758a,0.0375,0.0375,80,3
1dc53c92,0.017543859649122806,0.0,57,1
1b0c1b36,0.08108108108108109,0.06756756756756757,74,6
12a65aa0,0.013333333333333334,0.0,75,1
15e7620e,0.012987012987012988,0.0,77,1
21cdfb2c,0.018518518518518517,0.24074074074074073,54,1
d6b0cc47,1.0,0.0,1,1
1ba357cb,0.3333333333333333,0.0,3,1
2978230a,1.0,0.0,1,1
ad0ee082,0.5,0.0,2,1
93fb415e,0.5,0.0,2,1
20580546,0.013888888888888888,0.0,72,1
236ae56b,0.0196078431372549,0.0,51,1
2073d3f1,0.016666666666666666,0.2,60,1
c1927f9f,1.0,0.0,1,1
6532ec6d,0.5,0.0,2,1
1769e413,0.5,0.0,2,1
433fb825,0.5,0.0,2,1
42212c9f,0.5,0.0,2,1
318a930f,0.5,0.0,2,1
87f00803,1.0,0.0,1,1
81cde9d4,0.1,0.0,10,1
c3550f30,0.5,0.0,2,1
48d93ca6,0.5,0.0,2,1
a02f8423,1.0,0.0,1,1
a74a84ed,1.0,0.0,1,1
24c2a5be,0.23076923076923078,0.21153846153846154,52,12
9f555b33,1.0,0.0,1,1
390a03d7,0.5,0.0,2,1
5145f0c5,0.058823529411764705,0.0,17,1
c070a7c3,0.05,0.0,20,1
c92dc212,0.2,0.0,5,1
38ca4dd4,1.0,0.0,1,1
cc6595d5,1.0,0.0,1,1
bdf1baa7,1.0,0.0,1,1
ef099877,0.3333333333333333,0.0,3,1
94467b2b,0.05,0.0,20,1
b91b0c92,0.05,0.0,20,1
28315416,0.5,0.0,2,1
b457f117,0.5,0.0,2,1
f806d42d,1.0,0.0,1,1
c0e1f545,0.5,0.0,2,1
aa90c7cf,0.5,0.0,2,1
c1e9f2ec,1.0,0.0,1,1
a6ba2c62,0.1111111111111111,0.0,9,1
37a7a3ab,0.16666666666666666,0.0,6,1
d9bd812e,0.3333333333333333,0.0,3,1
c98fea39,0.07692307692307693,0.0,13,1
9c108a03,1.0,0.0,1,1
e07ec6df,1.0,0.0,1,1
fab27d05,1.0,0.0,1,1
1a74b1cc,0.016129032258064516,0.0,62,1
bed2fed3,0.2,0.0,5,1
62385da5,1.0,0.0,1,1
8fd75ba1,0.5,0.5,2,1
c2914140,0.25,0.25,4,1
b8f0ff69,0.5,0.0,2,1
9d59e01a,0.25,0.0,4,1
49ad5a7a,0.2,0.0,5,1
cb17dadb,0.25,0.0,4,1
11cc03c0,0.019230769230769232,0.0,52,1
2111c5ef,0.016666666666666666,0.03333333333333333,60,1
1fa8eba0,0.17857142857142858,0.07142857142857142,28,5
25714472,0.01694915254237288,0.0,59,1
a51ef4f3,1.0,0.0,1,1
cbf02ff7,1.0,0.0,1,1
6abcb450,1.0,0.0,1,1
8a19b172,0.3333333333333333,0.0,3,1
853d98a1,1.0,0.0,1,1
f9a663d9,0.5,0.5,2,1
d7814402,0.09090909090909091,0.0,11,1
ac3f12fc,0.16666666666666666,0.0,6,1
46458baa,0.1,0.0,10,1
5a535150,1.0,0.0,1,1
60fa6d30,0.1,0.0,10,1
924a2cf0,0.3333333333333333,0.0,3,1
26f15d98,0.0196078431372549,0.0,51,1
daf5d6b6,1.0,0.0,1,1
c226e76f,1.0,0.0,1,1
81b32c0b,0.5,0.5,2,1
96522712,1.0,0.0,1,1
1a877007,0.3333333333333333,0.0,3,1
b173d587,0.3333333333333333,0.0,3,1
24140944,0.16393442622950818,0.11475409836065574,61,10
e92baa7d,0.3333333333333333,0.0,3,1
c904d624,0.5,0.0,2,1
82eb960b,0.14285714285714285,0.0,7,1
8e337cda,0.5,0.0,2,1
990b3314,1.0,0.0,1,1
c77162f9,0.3333333333333333,0.3333333333333333,3,1
2bcc3f6c,1.0,0.0,1,1
9508aa69,1.0,0.0,1,1
ac4e2c76,1.0,0.0,1,1
6380151d,1.0,0.0,1,1
871d16e9,1.0,1.0,1,1
4692549c,1.0,0.0,1,1
54d5e066,0.3333333333333333,0.0,3,1
499351f8,0.25,0.0,4,1
01229586,0.25,0.0,4,1
9fa9c0c2,1.0,0.0,1,1
baa671cd,1.0,0.0,1,1
2eafc895,0.2,0.0,5,1
281fe059,0.06666666666666667,0.0,15,1
88e9f9a3,1.0,0.0,1,1
f9bb7ab3,0.25,0.25,4,1
f2c49006,0.16666666666666666,0.0,6,1
a91e6c18,1.0,0.0,1,1
975f2f4f,1.0,0.0,1,1
dcbd172c,1.0,0.0,1,1
8482c562,0.5,0.0,2,1
