position_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0-10%,169,10,4,6,0.05917159763313609,0.023668639053254437,0.03550295857988166
10-20%,182,8,6,2,0.04395604395604396,0.03296703296703297,0.01098901098901099
20-30%,183,7,4,3,0.03825136612021858,0.02185792349726776,0.01639344262295082
30-40%,193,6,3,3,0.031088082901554404,0.015544041450777202,0.015544041450777202
40-50%,215,13,2,11,0.06046511627906977,0.009302325581395349,0.05116279069767442
50-60%,180,4,4,0,0.022222222222222223,0.022222222222222223,0.0
60-70%,186,5,5,0,0.026881720430107527,0.026881720430107527,0.0
70-80%,187,2,2,0,0.0106951871657754,0.0106951871657754,0.0
80-90%,177,1,1,0,0.005649717514124294,0.005649717514124294,0.0
90-100%,309,17,7,10,0.05501618122977346,0.022653721682847898,0.032362459546925564
