pdf_id,total_pages,error_count,error_rate,fp_count,fn_count
871d16e9,1,1,1.0,0,1
f9a663d9,2,1,0.5,1,0
8fd75ba1,2,1,0.5,1,0
81b32c0b,2,1,0.5,1,0
c77162f9,3,1,0.3333333333333333,0,1
f9bb7ab3,4,1,0.25,0,1
c2914140,4,1,0.25,1,0
21cdfb2c,54,13,0.24074074074074073,13,0
24c2a5be,52,11,0.21153846153846154,0,11
2073d3f1,60,12,0.2,12,0
24140944,61,7,0.11475409836065574,2,5
0a6e0208,55,6,0.10909090909090909,0,6
1fa8eba0,28,2,0.07142857142857142,0,2
1b0c1b36,74,5,0.06756756756756757,0,5
098a7bf8,74,5,0.06756756756756757,3,2
0a79758a,80,3,0.0375,2,1
2111c5ef,60,2,0.03333333333333333,2,0
0100c5a7,78,0,0.0,0,0
0c9aa28b,59,0,0.0,0,0
09fea760,60,0,0.0,0,0
1dc53c92,57,0,0.0,0,0
0a708162,68,0,0.0,0,0
054d1524,71,0,0.0,0,0
01bb16c7,52,0,0.0,0,0
236ae56b,51,0,0.0,0,0
c1927f9f,1,0,0.0,0,0
1769e413,2,0,0.0,0,0
6532ec6d,2,0,0.0,0,0
42212c9f,2,0,0.0,0,0
318a930f,2,0,0.0,0,0
87f00803,1,0,0.0,0,0
433fb825,2,0,0.0,0,0
81cde9d4,10,0,0.0,0,0
c3550f30,2,0,0.0,0,0
a02f8423,1,0,0.0,0,0
48d93ca6,2,0,0.0,0,0
a74a84ed,1,0,0.0,0,0
9f555b33,1,0,0.0,0,0
390a03d7,2,0,0.0,0,0
5145f0c5,17,0,0.0,0,0
c070a7c3,20,0,0.0,0,0
c92dc212,5,0,0.0,0,0
38ca4dd4,1,0,0.0,0,0
cc6595d5,1,0,0.0,0,0
bdf1baa7,1,0,0.0,0,0
ef099877,3,0,0.0,0,0
12a65aa0,75,0,0.0,0,0
0e47eea8,55,0,0.0,0,0
15e7620e,77,0,0.0,0,0
d6b0cc47,1,0,0.0,0,0
2978230a,1,0,0.0,0,0
1ba357cb,3,0,0.0,0,0
ad0ee082,2,0,0.0,0,0
93fb415e,2,0,0.0,0,0
20580546,72,0,0.0,0,0
04d69b2f,51,0,0.0,0,0
37a7a3ab,6,0,0.0,0,0
a6ba2c62,9,0,0.0,0,0
c1e9f2ec,1,0,0.0,0,0
aa90c7cf,2,0,0.0,0,0
c0e1f545,2,0,0.0,0,0
f806d42d,1,0,0.0,0,0
b457f117,2,0,0.0,0,0
28315416,2,0,0.0,0,0
b91b0c92,20,0,0.0,0,0
94467b2b,20,0,0.0,0,0
1a74b1cc,62,0,0.0,0,0
bed2fed3,5,0,0.0,0,0
62385da5,1,0,0.0,0,0
c98fea39,13,0,0.0,0,0
fab27d05,1,0,0.0,0,0
d9bd812e,3,0,0.0,0,0
11cc03c0,52,0,0.0,0,0
cb17dadb,4,0,0.0,0,0
a51ef4f3,1,0,0.0,0,0
25714472,59,0,0.0,0,0
cbf02ff7,1,0,0.0,0,0
6abcb450,1,0,0.0,0,0
8a19b172,3,0,0.0,0,0
853d98a1,1,0,0.0,0,0
d7814402,11,0,0.0,0,0
ac3f12fc,6,0,0.0,0,0
46458baa,10,0,0.0,0,0
b8f0ff69,2,0,0.0,0,0
9d59e01a,4,0,0.0,0,0
49ad5a7a,5,0,0.0,0,0
9c108a03,1,0,0.0,0,0
e07ec6df,1,0,0.0,0,0
daf5d6b6,1,0,0.0,0,0
26f15d98,51,0,0.0,0,0
924a2cf0,3,0,0.0,0,0
60fa6d30,10,0,0.0,0,0
5a535150,1,0,0.0,0,0
b173d587,3,0,0.0,0,0
1a877007,3,0,0.0,0,0
96522712,1,0,0.0,0,0
c904d624,2,0,0.0,0,0
82eb960b,7,0,0.0,0,0
8e337cda,2,0,0.0,0,0
990b3314,1,0,0.0,0,0
2bcc3f6c,1,0,0.0,0,0
9508aa69,1,0,0.0,0,0
e92baa7d,3,0,0.0,0,0
c226e76f,1,0,0.0,0,0
6380151d,1,0,0.0,0,0
ac4e2c76,1,0,0.0,0,0
54d5e066,3,0,0.0,0,0
4692549c,1,0,0.0,0,0
01229586,4,0,0.0,0,0
9fa9c0c2,1,0,0.0,0,0
baa671cd,1,0,0.0,0,0
499351f8,4,0,0.0,0,0
2eafc895,5,0,0.0,0,0
281fe059,15,0,0.0,0,0
88e9f9a3,1,0,0.0,0,0
f2c49006,6,0,0.0,0,0
a91e6c18,1,0,0.0,0,0
975f2f4f,1,0,0.0,0,0
dcbd172c,1,0,0.0,0,0
8482c562,2,0,0.0,0,0
