position_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0-10%,169,14,6,8,0.08284023668639054,0.03550295857988166,0.047337278106508875
10-20%,182,6,4,2,0.03296703296703297,0.02197802197802198,0.01098901098901099
20-30%,183,6,3,3,0.03278688524590164,0.01639344262295082,0.01639344262295082
30-40%,193,7,3,4,0.03626943005181347,0.015544041450777202,0.02072538860103627
40-50%,215,12,2,10,0.05581395348837209,0.009302325581395349,0.046511627906976744
50-60%,180,3,3,0,0.016666666666666666,0.016666666666666666,0.0
60-70%,186,5,5,0,0.026881720430107527,0.026881720430107527,0.0
70-80%,187,2,2,0,0.0106951871657754,0.0106951871657754,0.0
80-90%,177,1,1,0,0.005649717514124294,0.005649717514124294,0.0
90-100%,309,18,6,12,0.05825242718446602,0.019417475728155338,0.038834951456310676
