position,total,fp_count,fn_count,error_count,error_rate,fp_rate,fn_rate
1,209,3,10,13,0.06220095693779904,0.014354066985645933,0.04784688995215311
5,165,8,6,14,0.08484848484848485,0.048484848484848485,0.03636363636363636
9,151,3,3,6,0.039735099337748346,0.019867549668874173,0.019867549668874173
13,138,2,2,4,0.028985507246376812,0.014492753623188406,0.014492753623188406
17,134,3,3,6,0.04477611940298507,0.022388059701492536,0.022388059701492536
21,129,0,3,3,0.023255813953488372,0.0,0.023255813953488372
25,127,4,3,7,0.05511811023622047,0.031496062992125984,0.023622047244094488
29,122,2,4,6,0.04918032786885246,0.01639344262295082,0.03278688524590164
33,120,2,0,2,0.016666666666666666,0.016666666666666666,0.0
37,118,2,2,4,0.03389830508474576,0.01694915254237288,0.01694915254237288
41,112,3,0,3,0.026785714285714284,0.026785714285714284,0.0
45,109,2,0,2,0.01834862385321101,0.01834862385321101,0.0
49,96,2,0,2,0.020833333333333332,0.020833333333333332,0.0
53,73,2,1,3,0.0410958904109589,0.0273972602739726,0.0136986301369863
57,57,0,0,0,0.0,0.0,0.0
61,37,0,0,0,0.0,0.0,0.0
65,35,0,0,0,0.0,0.0,0.0
69,29,0,1,1,0.034482758620689655,0.0,0.034482758620689655
73,16,0,0,0,0.0,0.0,0.0
77,4,0,1,1,0.25,0.0,0.25
