doc_type,count,mean,median,std,min,max
NACH_form,1,1.0,1.0,,1,1
aadhar_back,3,1.0,1.0,0.0,1,1
aadhar_card,2,1.0,1.0,0.0,1,1
aadhar_front,4,1.0,1.0,0.0,1,1
application_form,1,9.0,9.0,,9,9
balance_sheet,5,1.2,1.0,0.4472135954999579,1,2
bank_cheque,3,2.0,1.0,1.7320508075688772,1,4
bank_statement,16,57.5625,58.0,13.261315922637543,20,77
bank_statement_of_account_SOA,2,5.5,5.5,0.7071067811865476,5,6
ca_certificate,1,6.0,6.0,,6,6
certificate_of_incorporation,2,11.0,11.0,12.727922061357855,2,20
cibil_commercial,2,6.5,6.5,4.949747468305833,3,10
cibil_individual,3,6.0,3.0,6.082762530298219,2,13
combined_pnl_bs,2,1.5,1.5,0.7071067811865476,1,2
computation_sheet,3,1.6666666666666667,2.0,0.5773502691896257,1,2
disbursement_request_letter,3,1.0,1.0,0.0,1,1
dual_demographic_undertaking,1,1.0,1.0,,1,1
email,2,2.0,2.0,0.0,2,2
email_conversation,1,2.0,2.0,,2,2
emi_repayment_schedule,1,2.0,2.0,,2,2
field_investigation_report,2,1.5,1.5,0.7071067811865476,1,2
form_16,2,2.5,2.5,0.7071067811865476,2,3
form_26AS,2,4.0,4.0,0.0,4,4
form_60,2,1.0,1.0,0.0,1,1
form_AIS,1,1.0,1.0,,1,1
gst_accumn_report,1,20.0,20.0,,20,20
gst_certificate,4,3.0,3.0,0.816496580927726,2,4
gstr_form,7,18.714285714285715,3.0,26.24064459138587,2,60
income_sheet,2,3.0,3.0,1.4142135623730951,2,4
itr_firm,3,1.0,1.0,0.0,1,1
itr_individual,2,1.0,1.0,0.0,1,1
itr_individual_full,2,74.5,74.5,4.949747468305833,71,78
loan_lod_letter,1,1.0,1.0,,1,1
loan_sanction_letter,1,7.0,7.0,,7,7
municipal_mutation_record,4,6.25,2.0,9.17877987534291,1,20
noc_financial_institution_docs,1,1.0,1.0,,1,1
non_agriculture_order,2,4.0,4.0,2.8284271247461903,2,6
notes_to_accounts,8,11.0,3.5,16.578816087318867,1,50
other,3,3.0,1.0,3.4641016151377544,1,7
other_financial_doc,8,4.25,4.0,2.76457178290909,1,9
pan_card,1,1.0,1.0,,1,1
passport_front,2,2.0,2.0,0.0,2,2
photograph,1,1.0,1.0,,1,1
pnl_statement,8,1.5,1.5,0.5345224838248488,1,2
professional_license,2,1.0,1.0,0.0,1,1
property_ownership_docs,1,60.0,60.0,,60,60
property_revenue_docs,2,2.0,2.0,0.0,2,2
property_technical_report,1,10.0,10.0,,10,10
rent_agreement,3,4.0,4.0,1.0,3,5
schedules_and_annexures,10,18.7,6.5,24.253522080995438,1,70
shop_act_license,2,1.5,1.5,0.7071067811865476,1,2
tax_audit_3CA_3CD,1,22.0,22.0,,22,22
tax_audit_3CB_3CD,3,14.333333333333334,15.0,3.0550504633038935,11,17
tax_challan,3,1.3333333333333333,1.0,0.5773502691896257,1,2
title_search_report,3,10.0,10.0,5.0,5,15
udyam_certificate,2,3.0,3.0,2.8284271247461903,1,5
village_form_7_12,4,5.5,2.0,7.0,2,16
voter_id_front,1,1.0,1.0,,1,1
web_search_report,2,3.0,3.0,1.4142135623730951,2,4
