position,total_pages,fp_count,fn_count,total_errors,error_rate,fp_rate,fn_rate,correct_count
1,94,0,1,1,0.010638297872340425,0.0,0.010638297872340425,93
2,228,5,4,9,0.039473684210526314,0.021929824561403508,0.017543859649122806,219
3,207,2,7,9,0.043478260869565216,0.00966183574879227,0.033816425120772944,198
4,199,7,3,10,0.05025125628140704,0.035175879396984924,0.01507537688442211,189
5,195,3,3,6,0.03076923076923077,0.015384615384615385,0.015384615384615385,189
6,187,1,2,3,0.016042780748663103,0.0053475935828877,0.0106951871657754,184
7,180,7,4,11,0.06111111111111111,0.03888888888888889,0.022222222222222223,169
8,173,2,3,5,0.028901734104046242,0.011560693641618497,0.017341040462427744,168
9,170,3,1,4,0.023529411764705882,0.01764705882352941,0.0058823529411764705,166
10,168,7,5,12,0.07142857142857142,0.041666666666666664,0.02976190476190476,156
