window_position,total_pages,fp_count,fn_count,fp_rate,fn_rate
1,120,0,14,0.0,0.11666666666666667
2,257,25,5,0.09727626459143969,0.019455252918287938
3,230,10,8,0.043478260869565216,0.034782608695652174
4,218,10,4,0.045871559633027525,0.01834862385321101
5,211,5,3,0.023696682464454975,0.014218009478672985
6,203,2,2,0.009852216748768473,0.009852216748768473
7,192,8,4,0.041666666666666664,0.020833333333333332
8,187,0,4,0.0,0.0213903743315508
9,183,4,1,0.02185792349726776,0.00546448087431694
10,180,4,6,0.022222222222222223,0.03333333333333333
