window_position,total_pages,fp_count,fn_count,fp_rate,fn_rate
1,120,0,3,0.0,0.025
2,257,5,4,0.019455252918287938,0.01556420233463035
3,230,3,7,0.013043478260869565,0.030434782608695653
4,218,7,3,0.03211009174311927,0.013761467889908258
5,211,3,3,0.014218009478672985,0.014218009478672985
6,203,1,2,0.0049261083743842365,0.009852216748768473
7,192,7,4,0.036458333333333336,0.020833333333333332
8,187,2,3,0.0106951871657754,0.016042780748663103
9,183,3,1,0.01639344262295082,0.00546448087431694
10,180,7,5,0.03888888888888889,0.027777777777777776
