window_position,total_pages,fp_count,fn_count,fp_rate,fn_rate
1,120,0,8,0.0,0.06666666666666667
2,257,5,4,0.019455252918287938,0.01556420233463035
3,230,2,7,0.008695652173913044,0.030434782608695653
4,218,5,3,0.022935779816513763,0.013761467889908258
5,211,4,3,0.018957345971563982,0.014218009478672985
6,203,2,2,0.009852216748768473,0.009852216748768473
7,192,6,4,0.03125,0.020833333333333332
8,187,2,2,0.0106951871657754,0.0106951871657754
9,183,3,1,0.01639344262295082,0.00546448087431694
10,180,6,5,0.03333333333333333,0.027777777777777776
